id;name;slug;brand;introduce;create_at;update_at;is_active
1;the;uh-huh consequently baptise;negligible;yum;2026-04-12T21:20:33;2026-04-12T06:57:03;false
2;smooth round caption;instructor meanwhile;cautious scruple;from stabilise often;2026-04-12T22:03:50;2026-04-12T10:41:59;false
3;lest;impossible yowza yippee;runny insecure gah;likewise feminize separate;2026-04-12T02:27:43;2026-04-12T20:22:21;false
4;before surprisingly;equal towards;gee;crumble self-confidence;2026-04-12T16:46:24;2026-04-12T20:10:38;false
5;icy whoever important;consequently;likewise disinherit iterate;bah decision;2026-04-12T22:08:55;2026-04-11T23:06:59;true
6;outlaw ouch lest;exasperation;free;uh-huh bathhouse;2026-04-12T17:19:53;2026-04-12T20:45:06;true
7;valiantly;lest marketplace commercial;smoothly while old-fashioned;gosh;2026-04-12T15:22:02;2026-04-12T10:13:49;false
8;huzzah so rag;forenenst;and fedora;hence duh;2026-04-12T04:34:23;2026-04-12T07:34:52;false
9;tenderly summarise;recovery microblog;developing cap;log;2026-04-12T09:06:29;2026-04-12T09:45:20;true
10;enchanted pronoun what;crossly fund mantua;where pfft pfft;yum;2026-04-12T05:01:25;2026-04-12T06:21:32;false
